DNA1,MART1,CD207,SOX10,GZMB,CD163,CD1c,KRT14,CD3e,CD11c,CD8a,aSMA,CD20,CD68,PDL1,MITF,FOXP3,PD1,panCK,CD16,CD206,CD31,Vim,S100A,LAG3,CD56,pS6,HLA-A/B,SOX9,HLA-DPB1,PCNA,CD14,CD66b,pH3,LMNB2,Nestin,H3K27Me3,PRAME,TIGIT,TIM3,CD57,cPARP,DNA13,CD4,Ki67_2,IRF1,imageid,ROI_major_category,phenotype
17556.836,20322.195,1423.6686,12338.487,2668.6628,628.3526,2001.7765,478.04816,554.1214,669.316,1000.53564,194.03082,704.19653,214.93834,1247.3834,1413.2812,199.27553,2342.5974,886.4952,966.0308,115.597305,403.85934,5263.682,1200.5607,525.0771,876.2158,160.32178,1116.4604,309.69556,158.51253,322.65704,361.25433,289.26398,206.12332,3373.6436,492.42004,6023.6973,1494.3237,184.4104,1564.0693,866.6089,245.11754,985.2062,444.88632,91.57226,372.1214,A,MIS,tumor
5139.9307,593.4051,328.6339,1405.9153,794.3678,1195.8525,4059.8728,97.09492,640.7271,4353.8477,969.84406,201.42543,726.661,290.1678,892.1644,937.62036,358.5339,1227.2238,143.73051,1186.5983,3246.3796,661.02545,5354.032,1394.7238,463.0695,737.3881,237.58644,1152.8407,281.42712,2558.4558,133.42033,1133.5712,304.7068,103.047455,1608.3254,472.61188,1660.6627,921.0746,188.84407,1409.8136,988.3763,264.95764,689.039,2159.1677,106.1322,309.82202,A,VGP,non_tumor
23695.363,396.3725,815.00574,581.09454,551.8911,532.5272,3235.619,124.37823,935.6676,774.6304,826.5129,252.00574,610.1662,206.99713,896.33527,873.2951,380.87106,1358.0459,161.76218,838.82806,386.63324,2048.1892,18165.729,1493.5587,420.83667,535.3553,173.63324,994.1891,208.44412,1315.6447,212.46419,399.02005,273.8023,172.61604,3402.6018,525.5788,4234.805,814.56445,182.51576,3008.6792,824.9255,243.19197,598.53296,1070.8224,70.856735,287.02005,A,normal,non_tumor
9178.63,635.3259,357.60742,324.4889,798.1222,795.7611,6853.252,130.73148,1515.6666,6355.9946,932.7722,202.12593,824.313,284.20184,887.7111,1383.9722,376.4222,1270.6777,167.89444,1070.4685,1792.4648,844.2093,6109.4536,1191.0834,485.12222,784.4704,99.94259,962.5296,244.51111,4553.1147,168.4611,820.6445,328.94815,125.5037,5169.4165,593.28516,2608.4575,1012.4574,210.38704,2202.4834,932.38336,259.7389,345.6111,1485.2482,227.05927,294.39075,A,VGP,non_tumor
14441.83,455.64908,581.14197,822.0284,799.6288,541.1846,3601.142,125.01826,717.3124,744.6349,1090.6735,2335.8784,690.2454,297.7586,909.0751,1062.2596,180.99391,1324.0203,175.3712,825.69574,419.27182,3011.1196,10646.075,1873.8175,409.9635,662.3996,139.22516,1207.3651,276.46857,614.61664,172.9209,542.09534,284.47263,187.45639,995.3164,568.4828,3308.0366,803.30023,174.90872,1705.5558,954.64703,257.8783,1447.4666,1834.1238,80.70791,315.36105,A,RGP,non_tumor
14651.153,1883.787,485.62622,575.7292,739.402,484.7433,6796.1143,124.26375,523.87445,1043.2426,751.20593,176.98166,704.3385,225.86177,912.6925,982.2976,187.53879,1237.5063,162.10297,815.921,111.8646,427.8533,4114.148,962.17206,429.28632,522.6516,76.09873,699.7024,300.15656,1011.6516,98.180534,331.0282,288.89703,103.6756,1590.6785,472.8364,3095.1157,866.0451,160.67982,1039.7278,832.9859,240.88858,402.90128,486.67984,93.286316,388.9478,A,MIS,non_tumor
16172.93,588.8728,570.5277,752.8119,978.6482,564.2666,2089.5886,1902.4357,576.9811,498.22598,772.2963,177.38701,732.77264,240.74966,906.97296,1186.3491,206.77672,1474.3167,2451.7524,862.39105,89.90528,323.82138,126.250336,309.37753,414.52774,376.39108,137.50067,1198.0365,375.0284,218.91881,191.88362,350.39243,308.34506,181.61705,3547.1326,446.74832,2934.6711,883.5724,185.58998,760.03925,972.98645,271.22598,1170.9106,441.9364,90.38024,303.69284,A,RGP,non_tumor
9954.054,509.28284,465.0156,335.97995,930.3563,1741.7261,12338.089,95.50557,2273.557,6051.3833,1473.0446,209.71046,869.38086,399.48776,1060.8909,1037.5835,224.11804,1435.8687,127.87973,1039.049,7236.657,933.9777,5774.454,2136.557,481.45657,892.4388,116.0245,3805.7283,266.5724,5560.154,226.79733,2085.7148,303.2695,203.63698,3124.1248,491.42316,1539.6904,834.559,213.52339,2328.6257,882.67706,253.39867,1192.7639,4898.307,91.5167,310.9087,A,VGP,non_tumor
20929.074,467.6707,308.7209,339.6747,774.46185,609.1265,4848.8193,78.97389,3319.257,3085.7068,6541.233,210.37952,812.2811,271.2008,943.6446,1062.6405,195.08835,1490.3795,117.13454,997.6205,449.2249,534.17267,5476.422,1702.0321,475.15863,774.04016,146.03615,1750.7329,229.32932,3180.498,225.83333,733.247,330.4217,212.34137,6243.711,497.56024,2826.6707,1015.6004,224.82129,2120.8755,1015.81323,271.63654,1583.2229,4640.544,112.30723,363.3052,A,VGP,non_tumor
7580.711,1729.1238,8374.998,662.6398,1075.6979,594.28143,5996.439,1195.7485,610.3246,680.90247,870.34894,194.50093,840.9062,254.42964,900.6698,1146.0957,221.79175,1391.5084,1718.5197,907.71295,121.43715,373.30582,2925.1746,1471.7186,476.83676,701.7486,126.56848,784.0788,286.31708,2499.9436,129.45404,403.61163,312.69418,96.77298,3209.0806,514.77484,1897.8086,947.30206,177.22327,2478.304,974.0225,269.3715,500.05817,502.06754,99.6848,327.89307,A,VGP,non_tumor
